TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
VILG11;117,50;5,61;1,03;5.188.689,51;25,37;;;1.715.440.589,03;128.514,00;Ativa;
GTWR11;105,69;7,77;1,05;1.825.506,71;0,34;;;1.209.548.145,81;26.918,00;Ativa;
HCTR11;146,95;15,11;1,27;7.386.157,57;17,10;;;827.691.426,98;78.459,00;Ativa;
HSRE11;92,00;1,47;0,95;551.112,28;1,80;;;826.773.844,92;15,00;Ativa;
HTMX11;101,50;0,00;0,78;265.987,69;1,24;8,60;-10,11;164.514.258,92;24.778,00;Ativa;
IBFF11;71,35;6,82;0,84;197.385,66;5,12;;;56.959.683,31;5.440,00;Ativa;
JFLL11;95,40;1,36;0,99;141.158,20;1,90;;;145.084.057,88;1.274,00;Ativa;
JRDM11;67,27;2,06;0,77;95.136,40;2,90;-4,95;-5,69;220.607.172,53;5.720,00;Passiva;
KEVE11;1.008,20;0,00;1,00;170.698,61;11,41;;;148.286.541,14;373,00;Passiva;
KISU11;132,00;1,65;1,40;1.531.473,66;1,75;;;72.208.644,91;19.071,00;Ativa;
KNIP11;114,50;9,03;1,12;18.270.970,06;10,49;7,64;1,86;4.801.881.923,30;52.804,00;Ativa;
KNSC11;100,80;4,59;1,07;2.720.459,46;1,07;;;246.933.690,22;13.346,00;Ativa;
LOFT11B;29,90;28,66;0,45;17.429,83;23,10;;;220.116.366,55;473,00;Ativa;
HBCR11;0,00;0,00;;;3,86;;;26.277.151,92;7,00;Ativa;
MGCR11;100,98;3,97;1,06;221.043,53;2,06;;;68.736.081,82;831,00;Ativa;
SBCL11;0,00;0,00;;;122,91;;;39.398.811,81;1,00;Ativa;
SOLR11;1.200,00;0,00;1,18;49.337,00;1,59;;;64.154.105,15;32,00;Ativa;
VINO11;60,60;7,67;1,00;1.890.351,51;3,67;;;764.666.376,16;70.687,00;Ativa;
MGHT11;94,10;7,58;0,93;37.057,79;0,73;;;106.036.443,32;248,00;Ativa;
MINT11;123,00;0,00;1,20;74.548,96;23,46;;;53.308.543,95;62,00;Ativa;
TRNT11;146,11;3,95;0,70;156.774,82;0,27;-4,59;-7,06;816.249.354,88;677,00;Passiva;
URPR11;129,00;16,87;1,31;1.374.288,06;104,70;;;74.476.869,36;5.490,00;Ativa;
VGIR11;93,99;5,81;0,97;928.835,80;5,16;;;435.738.002,39;23.245,00;Ativa;
VIFI11;86,93;7,24;0,87;464.464,37;7,98;;;280.597.594,24;4.137,00;Ativa;
BCIA11;102,04;8,03;0,90;557.965,71;4,56;-1,09;-6,79;420.274.460,00;13.533,00;Ativa;
BTAL11;104,00;0,15;1,04;863.547,06;52,62;;;599.475.171,69;9.390,00;Ativa;
BTCR11;93,89;6,08;0,97;1.293.165,49;7,94;;;465.032.643,90;7.904,00;Ativa;
BTSG11;0,00;0,00;;;0,42;;;72.703.347,34;49,00;Ativa;
BTWR11;0,00;0,00;;;2,62;;;86.328.683,06;51,00;Passiva;
CARE11;0,57;2,41;0,35;89.165,03;0,08;;-29,69;289.227.548,05;10.624,00;Ativa;
NCHB11;100,42;10,30;1,08;510.922,77;52,75;-35,77;;134.161.781,39;6.067,00;Ativa;
BCRI11;116,82;9,32;1,09;1.159.609,77;5,48;-0,72;4,12;472.146.976,85;37.258,00;Ativa;
BICR11;92,80;3,15;0,94;7.101,91;6,56;;;49.337.389,46;636,00;Ativa;
BLMG11;104,99;1,38;1,06;1.355.257,75;0,85;;;189.043.776,02;142,00;Ativa;
CEOC11;70,54;8,19;0,81;100.251,40;2,05;-4,02;-8,47;157.364.588,40;7.116,00;Passiva;
SEQR11;92,14;1,46;0,88;78.609,09;3,53;;;155.646.919,90;970,00;Ativa;
SJAU11;115,51;0,00;0,01;375.314,75;0,62;;;793.297.177,35;107,00;Passiva;
TBOF11;15,56;47,24;97,25;;74,00;72,22;-44,08;1.609.421,85;9.158,00;Passiva;
TCIN11;100,00;0,00;1,12;822.205,60;4,86;;;62.735.604,00;108,00;Ativa;
BREV11;107,77;4,01;1,02;6.113,17;2,71;;;98.947.410,46;76,00;Ativa;
CVBI11;105,45;10,89;1,05;3.745.329,09;14,84;;;596.133.216,06;28.534,00;Ativa;
DLMT11;0,00;0,00;;;0,90;;;13.741.873,36;9,00;Ativa;
TGAR11;140,49;9,78;1,09;4.252.480,23;17,19;13,57;;952.034.746,67;58.726,00;Ativa;
DOMC11;439,00;0,00;0,40;17.499,67;0,72;;-5,97;271.169.512,09;1.151,00;Passiva;
BRHT11B;86,80;0,00;1,05;;0,91;;;152.316.509,66;11,00;--;
HAAA11;101,52;2,65;1,04;4.080,95;1,21;;;263.847.879,03;61,00;Ativa;
HCHG11;0,00;0,00;;;17,12;;;35.069.341,57;103,00;Ativa;
HFOF11;100,00;7,75;1,04;5.088.404,17;2,24;-1,86;0,42;2.077.612.502,78;65.930,00;Ativa;
HGBS11;202,30;2,72;0,92;1.866.795,80;0,19;-29,30;-5,14;2.200.209.177,42;81.787,00;Ativa;
HGCR11;108,75;6,23;1,04;3.458.306,66;5,19;-11,11;-0,15;1.295.007.398,86;60.062,00;Ativa;
HMOC11;226,95;66,37;0,95;69.159,67;0,67;122,18;;91.223.530,50;209,00;Passiva;
HOSI11;80,90;4,80;0,87;35.155,20;12,59;;;53.286.209,65;2.184,00;Ativa;
HREC11;104,30;4,44;1,07;101.867,65;1,60;;;87.571.342,35;165,00;Ativa;
HSLG11;105,73;1,94;1,00;1.220.429,60;4,70;;;1.333.583.813,25;12.848,00;Ativa;
HUSC11;132,50;5,85;1,02;27.378,74;5,10;;;103.056.744,44;632,00;Passiva;
HUSI11;1.040,00;0,00;1,09;2.600,00;32,77;;;95.540.976,23;77,00;Ativa;
IFID11;96,02;0,72;1,01;93.558,97;1,67;;;70.830.123,60;2.075,00;Passiva;
LVBI11;107,12;6,10;0,97;3.263.149,94;23,21;;;1.298.801.100,70;34.824,00;Ativa;
MALL11;97,88;4,62;0,93;1.713.323,97;2,82;-15,72;-2,10;794.035.289,87;83.014,00;Ativa;
FINF11;0,00;0,00;;;0,30;;;83.007.918,07;4,00;Ativa;
ONEF11;140,50;5,40;0,88;94.437,40;1,01;-2,90;-52,90;146.209.311,60;4.427,00;Passiva;
ORPD11;129,99;0,00;0,89;18.922,30;0,00;;;42.360.867,34;16,00;Ativa;
PATB11;0,00;0,00;;;5,61;;;504.927.334,99;59,00;Passiva;
PQAG11;66,00;10,63;1,21;38.620,51;5,71;;;760.757.277,02;342,00;Ativa;
PQDP11;2.874,99;2,48;0,80;156.265,89;1,10;-3,74;-4,97;858.198.969,76;4.174,00;Passiva;
RBRM11;160.000,00;43,07;0,98;;9,72;;;88.214.064,17;54,00;Ativa;
RECX11;91,59;0,00;0,96;3.424,00;14,52;;;18.953.854,13;318,00;Ativa;
SHDP11B;0,00;0,00;;;0,15;-6,21;;2.126.015.192,15;3,00;Passiva;
TEPP11;79,84;7,39;0,84;475.020,66;3,53;;;400.243.437,11;7.617,00;Ativa;
TSER11;0,00;0,00;;;97,73;;;120.500.000,00;11,00;Ativa;
TORD11;10,90;11,57;1,06;2.051.156,63;14,18;;;139.136.325,71;45.255,00;Ativa;
SALI11;0,00;0,00;;;3,36;;;7.900.914,77;2,00;Passiva;
VSHO11;70,55;1,22;0,70;67.982,06;2,82;;;210.921.506,35;1.816,00;Ativa;
VSLH11;11,96;2,03;1,21;248.676,78;2,29;;;118.963.782,85;197,00;Ativa;
VTPA11;0,00;0,00;;;2,49;;;73.486.819,02;1,00;Ativa;
AFCR11;115,40;8,84;1,12;442.420,71;1,86;;;122.174.377,34;1.443,00;Ativa;
AFHI11;97,00;0,00;1,01;458.466,25;48,42;;;171.702.542,06;3.172,00;Ativa;
AFOF11;181,80;0,00;1,71;318.627,87;1,56;;;39.057.853,78;62,00;Ativa;
