TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ALPA4;35,78;;150,08;6,97;4,37;52,34;8,15;4,17;76,71;70,64;-1,64;-0,15;6,25;15,00;-9,85;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;62.418.094,52;5,13;0,24;-3,07;19.823.763.226,49
ALPK3;7,63;;-8,65;2,15;0,55;25,38;1,26;-26,33;180,50;356,07;175,57;2,09;2,28;-2,43;-0,59;0,25;-24,89;-6,34;0,30;0,25;0,75;0,24;;;249.261,67;3,55;-0,88;-0,03;1.478.473.538,78
ALSO3;26,82;;42,16;0,94;0,65;66,20;40,15;21,20;22,26;17,93;-4,32;-0,18;8,94;4,99;-0,79;4,37;2,22;1,55;3,37;0,70;0,30;0,07;19,22;-0,15;35.506.429,12;28,66;0,64;0,06;7.128.025.905,96
ALUP11;24,87;2,77;12,17;1,32;0,35;46,15;44,80;11,73;3,19;5,99;2,81;1,17;1,43;3,43;-0,43;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;19.274.366,58;18,77;2,04;-0,59;7.287.832.420,01
ALUP3;8,69;2,65;12,76;1,39;0,37;46,15;44,80;11,73;3,34;5,99;2,81;1,17;1,50;3,59;-0,46;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;95.376,30;6,26;0,68;-0,62;7.287.832.420,01
ALUP4;8,23;2,79;12,08;1,32;0,35;46,15;44,80;11,73;3,16;5,99;2,81;1,17;1,42;3,40;-0,43;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;149.998,88;6,26;0,68;-0,58;7.287.832.420,01
AMAR3;5,49;;-4,72;1,40;0,48;39,75;-10,67;-13,41;-5,94;-10,05;-4,12;0,97;0,63;4,10;-0,95;1,31;-29,68;-10,11;-10,43;0,34;0,66;0,75;-2,93;;22.378.261,76;3,92;-1,16;0,00;1.436.550.397,11
AMBP3;24,01;;60,49;2,21;1,65;22,63;18,40;6,39;21,00;18,02;-2,98;-0,31;3,86;3,87;-3,49;5,23;3,66;2,73;7,27;0,75;0,25;0,43;;;8.105.748,76;10,85;0,40;1,43;2.711.583.467,88
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48;0,00;1.651.867.985,68
